,0
"381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",91
"24703, 54361, 368557, 27976, 416118, 24703, 54361, 368557, 27976, 416118",92
"58601, 306919, 58601, 306919",93
"192766, 192766",94
"395907, 430702, 342444, 395907, 430702, 342444",95
"310448, 310448",96
"162886, 162886",97
"295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",98
"268201, 216734, 291794, 322561, 322562, 322563, 320527, 244271, 266967, 266966, 266964, 266965, 418801, 403494, 438729, 438727, 268201, 216734, 291794, 322561, 322562, 322563, 320527, 244271, 266967, 266966, 266964, 266965, 418801, 403494, 438729, 438727",99
"427150, 427150",100
"389906, 389906",101
"25491, 25491",102
"306881, 306882, 251678, 306881, 306882, 251678",103
"394218, 212346, 273655, 150997, 322985, 394217, 273654, 394218, 212346, 273655, 150997, 322985, 394217, 273654",104
"403116, 380165, 403116, 380165",105
"193265, 193265",106
"40692, 40692",107
"2346, 527, 217083, 19764, 108, 7854, 528, 2346, 527, 217083, 19764, 108, 7854, 528",108
"415259, 415259",109
"181796, 181796",110
"437974, 198287, 437974, 198287",111
"424280, 427354, 440608, 417277, 397736, 431308, 379066, 410209, 435976, 426035, 411047, 424280, 427354, 440608, 417277, 397736, 431308, 379066, 410209, 435976, 426035, 411047",112
"204431, 286927, 255293, 180956, 163166, 204431, 286927, 255293, 180956, 163166",113
"145976, 145976",114
"527, 31999, 7854, 527, 31999, 7854",115
"220609, 220609",116
"381297, 425276, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",117
"204583, 204583",118
"381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",119
"419708, 419708",120
"268201, 268191, 320527, 244271, 266967, 266966, 266964, 266965, 348406, 360152, 360061, 360153, 403494, 438729, 438727, 268201, 268191, 320527, 244271, 266967, 266966, 266964, 266965, 348406, 360152, 360061, 360153, 403494, 438729, 438727",121
"45748, 45748",122
"343844, 343844",123
"423561, 423561",124
"298528, 162388, 204728, 174400, 89409, 298528, 162388, 204728, 174400, 89409",125
"176189, 383496, 176189, 383496",126
"137988, 161866, 137988, 161866",127
"235555, 339591, 235555, 339591",128
"320582, 320582",129
"234931, 234931",130
"419170, 419170",131
"352764, 331050, 284760, 391561, 299047, 411003, 256382, 352764, 331050, 284760, 391561, 299047, 411003, 256382",132
"157001, 157001",133
"204431, 286927, 255293, 180956, 147949, 204431, 286927, 255293, 180956, 147949",134
"306882, 251678, 245654, 306882, 251678, 245654",135
"64222, 148057, 64222, 148057",136
"352764, 331050, 391561, 299047, 411003, 256382, 271518, 352764, 331050, 391561, 299047, 411003, 256382, 271518",137
"103885, 103885",138
"158889, 82420, 93260, 82421, 158889, 82420, 93260, 82421",139
"423691, 200456, 341554, 312958, 144864, 172155, 249552, 261321, 185123, 215616, 122294, 157026, 95064, 138233, 271064, 108784, 230273, 241203, 213788, 180616, 423691, 200456, 341554, 312958, 144864, 172155, 249552, 261321, 185123, 215616, 122294, 157026, 95064, 138233, 271064, 108784, 230273, 241203, 213788, 180616",140
"422553, 340749, 422553, 340749",141
"396336, 420000, 272453, 316080, 440994, 388183, 301607, 433404, 423035, 351113, 285775, 396336, 420000, 272453, 316080, 440994, 388183, 301607, 433404, 423035, 351113, 285775",142
"430533, 430533",143
"437290, 437290",144
"242574, 209685, 242574, 209685",145
