"427367, 370074, 375783, 427696, 427697, 377179, 364339, 358525, 427693",0
,1
"368966, 433207, 368158, 426978",2
"365186, 367749, 367751, 312632, 310777, 380753, 250337, 312635, 236232, 298195, 297586, 226868, 310773, 231934, 300402, 310754, 312638",3
"315895, 332157, 336970, 362201",4
"368867, 441634, 426129, 343598, 345692, 367466, 326431, 374597, 342031, 434489, 392622",5
"317189, 380299, 406001, 401513, 427367, 427564, 322281, 427563, 265081, 395612, 339849, 241497, 311247, 312319, 332774, 427565, 428401, 419696, 255681, 370074, 427573, 400568, 375783, 427696, 296298, 427697, 346129, 377179, 218127, 427574, 427576, 428037, 408591, 265083, 427577, 427695, 265084, 427578, 427579, 364339, 401114, 427580, 358525, 352525, 230241, 247030, 387809, 406019, 440206, 433855, 427581, 381423, 230123, 202825, 226297, 416029, 427689, 427690, 427693, 390472, 422435, 365385, 427691, 273473, 279345, 427694, 428511, 359145, 365384, 231965",6
"407813, 299490, 122328, 132430, 188886, 339076, 409927, 179404, 210039",7
226840,8
365137,9
"401141, 193065, 245664, 244827, 356510, 346618, 262722, 378849, 365137, 232394, 263778, 292800, 401144, 368827, 275756, 401139, 401140, 401143",10
"380753, 338400, 354666, 402550",11
"368867, 426129, 343598, 345692, 367466, 326431, 374597, 342031, 434489, 392622, 404444, 421984",12
396802,13
"368867, 343598",14
"117145, 227688, 151546, 123262, 280500, 327916, 190581, 199869, 419703, 163247, 224686",15
280833,16
"178656, 231506, 256951, 264104, 110926, 132477, 139160, 150083, 166589, 190225, 193585, 214005, 234163, 179205",17
"256549, 214463, 130655",18
"256951, 232298, 295953, 264228, 225704, 245744, 238620, 293240",19
"276229, 262151, 199727, 279304, 211731, 221033, 232176, 232087, 237663, 205121, 211732, 211733, 212879, 204984, 242277, 223555",20
"356743, 381603, 305954, 375216, 305950, 368378, 366202, 305955, 368377, 294546, 350921, 381605, 303298",21
110926,22
"309116, 348601, 202976, 310215, 196339, 186069, 274383",23
"201381, 138329",24
416403,25
"418446, 295927, 318351, 256377, 312736, 297911, 245845, 274532, 297660, 245846, 386776, 386781, 275277, 310118, 313790",26
"402665, 402666, 306152, 306151, 407830, 380753",27
"286594, 290036, 290075, 298015, 438533, 290071, 293208, 289559, 275532, 308918",28
"232298, 236902, 292592, 240522, 216788, 414098",29
"209574, 232917, 283177, 165023, 208364, 380917, 181084, 325490, 262711",30
"264228, 359451, 293240",31
