"334522, 263156, 263728, 326364, 271967, 326742, 373842, 348608, 426252",0
"334571, 399634, 439465, 309493, 347407, 419962, 430615, 339385, 420437, 373838, 350761, 348604, 432279, 340345, 428779, 347851, 306354, 328775, 349935, 268234, 233281",1
"367780, 367779, 373669, 426899, 364793, 419781",2
309464,3
"433128, 366502, 365692, 413174, 375802, 357875, 366164, 375801, 360411, 419823, 419824, 419822, 367202, 426880, 434368, 368014, 382556, 378754, 367999, 367516",4
"334735, 418048, 289347, 306515, 289346, 289348, 289343, 306373, 288415, 289344, 306378, 306513, 289345, 289349, 288414, 289350, 288418, 288420, 306376, 289342, 306517, 306374, 287230, 288416, 306516, 287231, 287229, 306514, 288417, 272787, 272783, 275029, 280078, 272784, 393273, 282059, 308555, 261980, 367191, 365880, 336186, 272804, 367868, 250857, 261252, 306362, 418046, 293088, 250858, 366336, 273547, 338418, 348625, 365831, 365799, 267166, 265296",5
"332494, 306385, 262962, 309437, 267464, 243197, 297573, 297572, 306357, 306358, 306359, 365794, 376437, 347404, 401531, 440127, 326743, 376502, 402119",6
"358128, 382557, 425031, 399809, 428576, 324114, 379830, 387875, 411880, 373066, 362329, 347990, 429998, 367215, 367216, 368406, 401538, 429487, 439080, 368402, 364160, 364161, 390600, 444538, 428958, 383267",7
"334522, 428402, 303515, 358215, 358214, 429822, 266249, 272797, 272801, 272799, 328115, 272795, 272792, 230053, 306381, 272800, 429823, 312374, 428017, 352313, 293310, 263156, 263382, 429156, 220036, 365388, 375798, 263728, 326364, 215570, 278695, 365387, 271967, 306355, 306356, 326742, 336608, 294179, 312376, 406648, 363974, 209030, 236423, 433363, 264181, 343464, 373842, 365386, 385703, 348608, 385702, 385705, 444537, 444534, 267171, 312375, 385696, 426252",8
"353403, 351555, 351556, 375354, 422659, 309486, 422661, 336553, 354624, 396141",9
"364909, 287906, 267463, 295527, 334032, 366940, 387375, 201256, 342723, 348614, 220585",10
"314281, 314280, 326361, 439515, 434379, 372968, 367225, 344501, 271283, 374891, 289436",11
"273036, 434378, 372965, 314281, 314280, 356604, 309476, 271287, 372971, 268243, 326361, 439515, 271950, 434379, 372968, 367225, 344501, 344500, 399366, 372975, 434377, 372964, 271283, 374891, 401879, 382563, 289436, 300708, 348652, 271394",12
"418048, 339530, 322903, 326939, 366335, 378769, 373714, 332707, 332706, 348632, 365798, 365826, 418046, 293088, 346243, 365831",13
"444538, 428958, 414753",14
"259640, 309467, 309605, 280580, 346169, 430767, 306397, 263804, 348635, 267170",15
"273036, 434378, 372965, 314281, 314280, 309476, 271287, 268243, 326361, 439515, 271950, 367225, 344500, 271283, 289436, 348652, 271394",16
"358128, 382557, 428576, 324114, 379830, 411880, 373066, 367216, 368406, 368402, 364160, 364161, 390600, 428958, 414753, 383267",17
"443307, 138423, 138421, 316245, 292393, 348661",18
"334015, 334123, 324638, 196016, 309596, 352064",19
"273035, 315061, 306391, 326373, 241127, 271939, 272500, 270740, 348624",20
"268179, 263218, 267467, 348620, 337695, 343461, 367360",21
"380322, 328776, 243360, 309434, 309604, 267350, 334746, 366935, 326824, 369237, 216277, 232365, 380324, 366936, 334736, 334747, 382561, 268418, 348638",22
"334656, 334654, 439303, 394548, 394547, 206690, 223406, 333426, 207791, 263803, 317056, 297611, 309473, 242715, 226917, 361379, 207629, 232123, 401524, 267461, 282766, 420128, 216398, 242714, 427383, 334019, 335250, 235883, 389996, 320029, 279496, 268239, 211947, 263346, 266152, 216392, 231641, 257269, 257270, 214599, 216391, 238417, 330823, 264324, 378775, 268417, 348650, 260687, 420129, 267172, 243232",23
"372683, 305956, 376908, 376909, 305957, 305952",24
"346993, 315061, 326373, 373845, 348624, 365813",25
"334636, 333853, 354399, 347408, 333852, 291721, 437379, 207907, 309490, 336659, 347023, 428448, 271935, 306199, 219880, 186070, 369236, 212289, 255878, 373836, 228690, 348618, 272265, 400962",26
