8.41,0
8.40,1
8.38,2
8.37,3
8.35,4
8.33,5
8.23,6
8.20,7
8.19,8
8.17,9
8.15,10
8.14,11
8.13,12
8.10,13
8.09,14
8.06,15
8.05,16
8.04,17
8.02,18
8.00,19
7.97,20
7.96,21
7.95,22
7.94,23
7.93,24
7.91,25
7.90,26
7.88,27
7.87,28
7.86,29
7.85,30
7.84,31
7.83,32
7.82,33
7.80,34
7.79,35
7.78,36
7.76,37
7.75,38
7.74,39
7.73,40
7.72,41
7.71,42
7.70,43
7.69,44
7.68,45
7.67,46
7.66,47
7.64,48
7.63,49
7.62,50
7.61,51
7.60,52
7.59,53
7.58,54
7.57,55
7.56,56
7.55,57
7.54,58
7.53,59
7.52,60
7.51,61
7.50,62
7.49,63
7.48,64
7.47,65
7.46,66
7.45,67
7.44,68
7.43,69
7.42,70
7.41,71
7.40,72
7.39,73
7.38,74
7.37,75
7.36,76
7.35,77
7.34,78
7.33,79
7.32,80
7.31,81
7.30,82
7.29,83
7.28,84
7.27,85
7.26,86
7.25,87
7.24,88
7.23,89
7.22,90
7.21,91
7.20,92
7.19,93
7.18,94
7.17,95
7.16,96
7.15,97
7.14,98
7.13,99
7.12,100
7.11,101
7.10,102
7.09,103
7.08,104
7.07,105
7.06,106
7.05,107
7.04,108
7.03,109
7.02,110
7.01,111
7.00,112
6.99,113
6.98,114
6.97,115
6.96,116
6.95,117
6.94,118
6.93,119
6.92,120
6.91,121
6.90,122
6.89,123
6.88,124
6.87,125
6.86,126
6.85,127
6.84,128
6.83,129
6.82,130
6.81,131
6.80,132
6.79,133
6.78,134
6.77,135
6.76,136
6.75,137
6.74,138
