1.09,0
1.42,1
0.97,2
1.60,3
1.39,4
1.74,5
1.64,6
1.28,7
1.43,8
1.48,9
1.36,10
1.52,11
1.47,12
1.34,13
1.41,14
1.10,15
1.58,16
1.25,17
1.08,18
1.32,19
1.45,20
1.38,21
1.20,22
1.01,23
1.30,24
1.95,25
1.44,26
1.21,27
1.13,28
1.18,29
1.29,30
1.55,31
1.53,32
1.37,33
1.16,34
1.17,35
1.63,36
1.31,37
1.11,38
1.33,39
1.46,40
1.61,41
1.56,42
1.19,43
1.49,44
1.69,45
1.12,46
1.04,47
1.51,48
1.26,49
1.35,50
1.15,51
1.66,52
2.01,53
1.27,54
1.23,55
1.24,56
1.70,57
1.92,58
1.76,59
1.77,60
1.72,61
1.59,62
1.71,63
1.22,64
1.85,65
1.14,66
1.54,67
1.90,68
1.40,69
1.05,70
1.67,71
1.50,72
1.62,73
1.07,74
1.65,75
1.81,76
1.06,77
0.99,78
1.02,79
1.57,80
1.68,81
1.79,82
2.06,83
1.03,84
1.99,85
1.87,86
1.78,87
